domain,company,category,sources,have_DMs
bridgewise.com,Bridgewise,Fintech AI,scrape|supersoniq_proven,yes
bridgify.io,Bridgify,Travel SaaS,scrape,no
brieflect.co.il,,,discolike_IL,no
briefvex.com,,,discolike_IL,no
briefy.co.il,,,discolike_IL,no
brightdata.com,Bright Data,Web data infrastructure,scrape|supersoniq_proven,yes
brightmerge.com,,,supersoniq_proven,yes
brightnow.co.il,,,discolike_IL,no
brightsourceenergy.com,,,supersoniq_proven,yes
brightvision.co.il,,,discolike_IL,no
brillixai.com,,,discolike_IL,no
bringer.tech,,,discolike_IL,no
bringg.com,Bringg,logistics,scrape|supersoniq_proven,yes
brixelai.com,,,discolike_IL,no
brnx-ai.com,,,discolike_IL,no
brosh-crm.com,,,discolike_IL,no
brsh.co.il,,,discolike_IL,no
bruchim.xyz,,,discolike_IL,no
bryft.com,,,discolike_IL,no
bscale.co.il,,,discolike_IL,no
bsmart.co.il,,,discolike_IL,no
bubbleup.ai,,,discolike_IL,no
bucket.tech,,,discolike_IL,no
buckleapp.io,,,discolike_IL,no
buffers.ai,buffers.ai,AI SaaS,scrape,no
builderall.org.il,,,discolike_IL,no
buildots.com,Buildots,proptech,scrape|supersoniq_proven,yes
buildwebsites.co.il,,,discolike_IL,no
buligo.co.il,,,supersoniq_proven,yes
bull36.com,,,discolike_IL,no
bulldog-wp.co.il,,,discolike_IL,no
bumarket.net,,,discolike_IL,no
business-card.club,,,discolike_IL,no
buyme.co.il,,,supersoniq_proven,yes
buysoci.al,,,discolike_IL,no
buywith.com,Buywith,RetailTech,scrape,no
buz.co.il,,,discolike_IL,no
buzzer.ai,Buzzer,sales lead routing AI,scrape,no
buzzilla.co.il,,,discolike_IL,no
buzzilla.com,Buzzilla,Social Listening,scrape,no
bw-robotics.com,,,supersoniq_proven,yes
bynyk.com,,,supersoniq_proven,yes
c-contact.co.il,,,discolike_IL,no
cal-cargo.com,,,supersoniq_proven,yes
caleno.co,,,discolike_IL,no
caliapp.co.il,,,discolike_IL,no
calio.co.il,,,discolike_IL,no
call-center.co.il,,,discolike_IL,no
call-scheduler.app,,,discolike_IL,no
callanalyzer.co.il,,,discolike_IL,no
callbot.co.il,,,discolike_IL,no
callbox.co.il,,,discolike_IL,no
callcher.com,,,discolike_IL,no
